affcon_gamemove,affcon_reasoning,affcon_rapport,affcon_shareinformation,Input.deception_quadrant,Input.Deception_Cat
1,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Cassandra,1
1,1,1,1,Straightforward,1
0,1,0,1,Straightforward,1
1,1,1,0,Cassandra,1
1,1,1,0,Straightforward,1
1,0,0,0,Straightforward,1
1,1,1,0,Straightforward,1
1,0,0,1,Straightforward,1
1,1,0,1,Straightforward,0
1,1,1,0,Cassandra,0
0,1,1,0,Straightforward,1
1,0,0,0,Straightforward,1
1,1,1,1,Straightforward,0
1,0,0,1,Straightforward,0
0,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,0,1,Straightforward,1
1,0,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
0,1,0,0,Straightforward,1
0,0,1,0,Straightforward,1
1,0,0,1,Straightforward,1
1,0,1,0,Straightforward,0
1,1,0,1,Straightforward,0
1,1,1,1,Straightforward,1
0,1,1,0,Straightforward,1
0,1,1,0,Straightforward,1
0,0,1,0,Straightforward,1
1,0,1,0,Straightforward,1
0,1,0,1,Straightforward,1
0,0,0,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
0,0,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,0,0,1,Straightforward,1
0,0,0,0,Straightforward,1
1,0,1,0,Straightforward,1
1,0,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
0,0,1,1,Straightforward,1
0,0,0,1,Straightforward,1
1,1,1,0,Straightforward,0
1,1,1,1,Straightforward,1
0,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
0,1,1,0,Straightforward,1
1,0,0,1,Straightforward,1
1,1,1,1,Cassandra,1
1,0,0,1,Straightforward,1
0,1,0,1,Straightforward,0
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
0,0,0,0,Straightforward,1
1,0,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,0
1,1,0,1,Straightforward,0
1,1,1,1,Straightforward,0
1,1,1,0,Straightforward,0
1,1,1,0,Straightforward,1
1,1,1,1,Cassandra,1
1,1,1,0,Straightforward,0
0,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
0,0,0,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,0,Straightforward,1
1,0,0,0,Straightforward,1
0,1,1,0,Straightforward,1
0,1,1,0,Straightforward,1
0,0,0,1,Straightforward,1
0,0,0,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
0,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,0,0,0,Straightforward,1
0,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,0,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
0,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,0,0,0,Straightforward,1
1,0,1,1,Straightforward,1
0,0,0,0,Straightforward,1
1,1,0,0,Straightforward,1
0,0,0,0,Straightforward,1
0,0,0,0,Straightforward,1
0,0,0,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,0,0,0,Straightforward,1
0,0,0,0,Straightforward,1
1,0,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,0,0,0,Straightforward,1
1,1,1,1,Straightforward,1
0,0,1,1,Straightforward,0
1,1,0,0,Straightforward,0
1,0,0,0,Straightforward,1
1,1,1,1,Cassandra,1
1,0,0,0,Straightforward,1
1,1,1,1,Cassandra,1
0,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
0,0,0,0,Straightforward,1
0,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
0,0,0,1,Straightforward,1
1,1,1,1,Straightforward,1
0,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,0
1,1,1,1,Straightforward,0
1,1,1,1,Straightforward,1
1,0,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,0,Straightforward,0
0,0,1,0,Straightforward,1
1,0,1,1,Cassandra,1
1,1,1,1,Straightforward,1
0,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,0,0,0,Cassandra,1
1,0,0,1,Straightforward,1
1,1,0,1,Straightforward,1
0,0,1,0,Cassandra,1
1,1,0,1,Straightforward,1
0,1,1,1,Straightforward,1
1,0,1,0,Straightforward,1
0,1,1,0,Straightforward,1
0,0,0,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
0,0,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,0,0,0,Straightforward,1
1,0,1,1,Straightforward,1
1,0,0,0,Straightforward,1
0,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
0,1,1,1,Straightforward,1
0,1,0,1,Straightforward,1
0,1,1,0,Straightforward,1
1,1,0,0,Straightforward,1
1,1,0,1,Straightforward,1
0,1,0,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
0,1,0,0,Straightforward,1
1,0,0,1,Straightforward,1
0,0,0,0,Straightforward,1
0,0,0,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,0,1,0,Straightforward,1
0,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
0,1,0,1,Straightforward,1
0,1,0,1,Straightforward,1
1,1,0,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Cassandra,1
0,0,0,0,Straightforward,1
1,1,0,1,Straightforward,1
0,1,1,0,Straightforward,0
0,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
0,0,0,1,Straightforward,1
1,1,0,0,Straightforward,1
0,1,1,0,Straightforward,1
0,0,0,0,Straightforward,1
0,0,0,0,Straightforward,1
1,1,0,1,Straightforward,1
0,0,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,0,0,1,Straightforward,1
0,1,1,1,Straightforward,1
0,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
0,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,0,0,0,Straightforward,1
1,1,0,1,Straightforward,1
0,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
0,0,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,0,1,0,Straightforward,1
0,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
0,1,0,0,Straightforward,1
0,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
1,0,0,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
0,0,0,0,Straightforward,1
1,0,0,0,Straightforward,1
1,1,0,1,Straightforward,1
0,1,0,0,Cassandra,1
0,0,0,0,Straightforward,1
0,0,0,0,Straightforward,1
1,0,1,0,Straightforward,1
1,1,1,0,Cassandra,1
1,0,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,0,1,Straightforward,1
1,0,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
0,0,0,0,Straightforward,1
0,0,1,0,Straightforward,1
0,0,1,0,Straightforward,1
1,1,0,0,Straightforward,1
0,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
0,0,0,1,Straightforward,1
0,0,0,1,Straightforward,1
0,0,0,1,Straightforward,1
0,1,0,1,Straightforward,1
0,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,0,1,0,Straightforward,1
1,0,0,1,Straightforward,1
1,0,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,0,0,Straightforward,1
1,1,1,0,Straightforward,1
0,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
0,1,0,1,Straightforward,1
0,1,1,0,Straightforward,1
0,0,1,1,Straightforward,1
1,1,1,0,Straightforward,1
0,0,0,0,Straightforward,1
0,1,0,0,Straightforward,1
0,0,0,0,Straightforward,1
0,1,1,0,Straightforward,1
0,1,0,1,Straightforward,1
1,1,0,1,Straightforward,1
1,0,0,1,Straightforward,1
1,0,0,0,Straightforward,1
1,1,1,1,Straightforward,1
1,0,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
0,1,0,0,Straightforward,1
0,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Cassandra,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
0,0,0,0,Straightforward,1
0,1,1,1,Straightforward,1
0,0,0,1,Straightforward,1
1,1,1,0,Straightforward,1
0,0,0,0,Straightforward,1
1,1,1,0,Straightforward,1
0,0,0,0,Straightforward,1
1,0,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
0,0,1,0,Straightforward,1
1,1,0,1,Straightforward,0
1,1,0,1,Straightforward,0
0,0,0,1,Straightforward,1
1,1,0,0,Straightforward,1
1,1,1,0,Straightforward,1
0,0,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
0,0,0,0,Straightforward,1
1,0,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
0,1,1,0,Straightforward,1
1,1,1,0,Cassandra,1
0,1,0,1,Straightforward,1
1,1,0,1,Straightforward,1
0,1,0,1,Straightforward,1
1,0,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,0,1,0,Straightforward,1
0,1,0,1,Straightforward,1
1,0,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,0,1,0,Straightforward,1
1,0,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,0,1,1,Straightforward,1
1,1,1,1,Straightforward,1
0,0,0,1,Straightforward,1
1,1,1,1,Straightforward,1
0,0,0,1,Straightforward,1
1,0,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
0,1,0,1,Straightforward,1
0,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,0,0,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,0,1,1,Straightforward,1
1,1,1,1,Straightforward,0
1,1,1,0,Straightforward,1
0,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
0,0,0,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
0,1,1,0,Straightforward,1
0,0,0,1,Straightforward,1
0,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
0,1,1,0,Cassandra,1
1,1,1,0,Straightforward,1
0,1,0,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
0,1,0,1,Straightforward,1
1,1,0,0,Straightforward,1
1,0,0,1,Straightforward,0
1,1,1,0,Straightforward,0
0,1,0,1,Straightforward,0
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
0,0,0,0,Straightforward,1
1,1,1,0,Straightforward,1
0,1,0,0,Straightforward,1
1,0,0,1,Straightforward,1
1,1,0,1,Straightforward,1
0,0,0,1,Straightforward,1
1,1,1,1,Cassandra,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
0,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Cassandra,1
1,1,1,1,Straightforward,1
0,1,0,1,Cassandra,1
1,0,0,0,Cassandra,1
1,1,1,0,Straightforward,1
0,0,0,1,Straightforward,1
0,0,0,0,Straightforward,1
0,0,0,0,Straightforward,1
0,0,0,0,Straightforward,1
0,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,0,0,0,Straightforward,1
1,0,0,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,0,1,0,Straightforward,1
1,1,1,1,Straightforward,1
0,0,1,0,Straightforward,1
1,0,0,0,Straightforward,1
0,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
0,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Cassandra,1
1,1,0,0,Straightforward,1
1,0,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
0,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
0,1,0,0,Straightforward,1
0,1,0,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,0,0,Straightforward,1
0,1,0,0,Straightforward,1
1,0,1,1,Straightforward,1
0,0,1,0,Straightforward,1
1,1,1,1,Straightforward,1
0,0,0,0,Straightforward,1
1,1,1,0,Straightforward,1
0,0,0,1,Straightforward,1
0,0,1,1,Straightforward,1
0,1,0,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
0,1,1,0,Straightforward,1
1,0,1,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Cassandra,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
0,0,0,1,Straightforward,1
1,0,0,1,Straightforward,1
1,1,1,1,Straightforward,1
0,0,1,1,Straightforward,1
1,0,1,0,Cassandra,1
1,1,0,0,Straightforward,1
1,0,0,0,Straightforward,1
0,1,1,0,Straightforward,1
1,0,0,1,Straightforward,1
1,1,1,0,Straightforward,1
0,1,1,0,Straightforward,1
0,0,0,1,Straightforward,1
1,0,0,1,Straightforward,1
0,1,0,0,Straightforward,1
1,0,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
1,0,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,0
0,1,1,1,Straightforward,0
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
0,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
0,1,0,1,Straightforward,1
0,1,0,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,0,0,0,Straightforward,1
1,1,0,1,Straightforward,1
0,0,0,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,0,1,0,Straightforward,1
1,1,1,0,Straightforward,1
0,1,0,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,0
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
0,0,0,1,Straightforward,1
0,0,0,1,Straightforward,1
1,0,1,0,Straightforward,1
0,0,0,0,Straightforward,1
0,1,0,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,0,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
0,1,0,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,0,1,0,Cassandra,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
0,1,1,0,Straightforward,1
1,0,0,0,Cassandra,1
0,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,0,1,1,Straightforward,1
0,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,0,0,0,Straightforward,1
1,0,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,0,1,Straightforward,1
0,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
0,0,0,0,Straightforward,1
0,0,0,0,Straightforward,1
0,1,1,1,Straightforward,1
0,0,0,0,Straightforward,1
0,0,0,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
0,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
0,0,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
0,1,0,0,Straightforward,1
1,1,1,1,Straightforward,1
1,0,1,0,Straightforward,1
1,1,1,0,Straightforward,1
0,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
0,1,0,1,Straightforward,1
1,1,0,0,Straightforward,1
0,0,0,0,Cassandra,0
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
0,1,1,0,Straightforward,1
0,1,0,0,Cassandra,1
0,0,0,0,Straightforward,1
0,0,0,0,Straightforward,1
1,1,0,1,Straightforward,1
0,0,0,0,Straightforward,1
1,1,1,0,Straightforward,1
0,0,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,0,0,0,Straightforward,1
1,0,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,0,1,0,Straightforward,1
1,1,1,0,Straightforward,0
0,0,1,0,Straightforward,1
0,1,0,1,Straightforward,1
0,0,0,0,Straightforward,1
1,1,1,0,Straightforward,1
0,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,0,0,1,Straightforward,1
1,1,0,1,Straightforward,1
0,1,0,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
0,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
0,0,0,1,Straightforward,0
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,0
1,1,0,0,Cassandra,0
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,0
1,1,1,0,Straightforward,1
1,0,0,0,Straightforward,1
0,0,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
0,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,0,1,1,Straightforward,1
1,1,1,0,Straightforward,1
0,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
0,1,0,0,Cassandra,1
1,0,0,1,Straightforward,1
0,1,0,0,Straightforward,1
1,1,1,0,Straightforward,1
0,1,0,1,Straightforward,1
0,0,0,0,Straightforward,1
0,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
0,0,0,1,Straightforward,1
1,0,1,0,Straightforward,1
0,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
0,1,0,1,Straightforward,1
0,1,0,1,Straightforward,1
0,0,0,1,Straightforward,1
1,0,0,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
0,1,1,0,Straightforward,1
1,0,1,1,Straightforward,1
0,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,0,0,1,Straightforward,0
1,0,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,0,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
0,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,1,Cassandra,1
1,1,0,1,Straightforward,1
1,1,0,0,Straightforward,1
0,0,0,0,Straightforward,1
1,0,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,1,Straightforward,1
0,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,0,1,Straightforward,1
0,0,0,0,Straightforward,1
1,1,1,0,Straightforward,1
0,0,0,0,Straightforward,1
0,0,0,0,Cassandra,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
0,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
0,0,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,0
1,1,1,0,Straightforward,0
0,1,0,1,Straightforward,0
1,0,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,0,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,0,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
0,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
0,0,0,0,Straightforward,1
0,1,1,0,Straightforward,1
0,0,0,1,Straightforward,1
0,0,1,0,Straightforward,1
0,0,0,0,Straightforward,1
0,0,0,0,Cassandra,1
0,1,0,1,Straightforward,1
1,0,0,0,Straightforward,1
0,1,0,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Cassandra,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,0,0,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
0,1,0,1,Cassandra,1
1,1,1,0,Straightforward,1
0,1,1,0,Straightforward,1
1,0,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,0,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
0,0,0,0,Straightforward,1
1,0,0,1,Straightforward,1
1,1,0,1,Straightforward,1
0,0,0,0,Straightforward,1
0,0,1,0,Straightforward,1
0,1,0,1,Straightforward,1
0,1,0,1,Straightforward,1
1,0,1,0,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,0,1,Straightforward,1
1,0,1,0,Straightforward,1
0,1,0,0,Straightforward,1
1,0,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Cassandra,1
1,0,0,1,Straightforward,1
1,1,0,1,Straightforward,1
0,0,0,1,Straightforward,1
1,1,1,0,Straightforward,0
1,1,1,1,Straightforward,1
1,0,0,1,Straightforward,1
0,0,1,1,Straightforward,0
0,1,0,0,Straightforward,0
1,1,1,0,Straightforward,1
1,1,0,1,Straightforward,1
1,1,0,1,Straightforward,0
0,1,0,0,Straightforward,0
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,1,Straightforward,1
1,0,1,0,Cassandra,1
1,0,1,0,Straightforward,1
0,0,0,0,Straightforward,1
1,1,1,1,Straightforward,0
1,1,1,0,Straightforward,0
0,0,0,1,Straightforward,1
0,0,0,1,Straightforward,1
1,1,1,0,Straightforward,1
1,0,0,0,Straightforward,1
1,1,0,1,Straightforward,1
1,0,0,0,Cassandra,1
1,0,0,1,Straightforward,1
0,1,0,1,Straightforward,1
1,1,0,1,Straightforward,1
1,1,1,0,Straightforward,1
0,0,0,0,Straightforward,1
0,1,1,0,Cassandra,1
1,1,1,1,Straightforward,1
1,0,1,0,Straightforward,1
1,1,1,0,Straightforward,1
0,0,0,1,Straightforward,1
0,0,0,0,Straightforward,1
1,1,1,0,Straightforward,0
1,0,1,0,Straightforward,0
1,1,0,0,Straightforward,1
1,0,0,0,Straightforward,1
1,1,1,1,Straightforward,1
1,1,1,0,Straightforward,1
